months_since_default,recovery_percent
0.0,0.0
1.0,0.0
2.0,0.0
3.0,23.02493531310481
4.0,33.73947714013692
5.0,38.14988653895017
6.0,41.30380118142283
7.0,47.159498662002726
8.0,47.63105671457982
9.0,49.25818038308077
10.0,49.25818038308077
11.0,49.25818038308077
12.0,49.25818038308077
13.0,49.25818038308077
14.0,49.25818038308077
15.0,49.25818038308077
16.0,49.25818038308077
17.0,49.25818038308077
18.0,49.25818038308077
19.0,49.25818038308077
20.0,49.25818038308077
21.0,49.25818038308077
22.0,49.25818038308077
23.0,49.25818038308077
